,text
194,"Wir wollen die gesetzliche Rente stärken und stehen für eine dauerhaft stabile Rentenleistung und ein dauerhaftes Rentenniveau von mindestens 48 Prozent. Arbeit darf ihren Wert im Alter nicht verlieren. In Parlament und Regierung haben wir uns erfolgreich dafür eingesetzt, dass die Grundrente kommt. Nun ist sie da und schützt viele Menschen, die Jahrzehnte für geringe Löhne gearbeitet haben, vor dem Risiko im Alter arm zu sein."
195,"Immer wieder fordern Arbeitgeber und konservative Kräfte, dass Menschen für eine gute Rente noch länger arbeiten sollen. Wir lehnen eine weitere Anhebung des gesetzlichen Renteneintrittsalters ab, weil sie für viele, die nicht länger arbeiten können, eine Rentenkürzung bedeutet und ungerecht ist. Den gesetzlichen Anspruch, dass besonders langjährig Versicherte vor Erreichen der Regelaltersgrenze abschlagsfrei in Rente gehen können, werden wir beibehalten. Solidarität in der Alterssicherung bedeutet für uns zudem, dass auch die Selbstständigen, Beamt*innen, freien Berufe und Mandatsträger*innen der gesetzlichen Rentenversicherung angehören. Es ist an der Zeit, die Gesamtheit der Erwerbstätigen in die Rentenversicherung aufzunehmen und die Sondersysteme auf lange Sicht zu überwinden. Wenn es zu einer Zusammenführung der Altersversorgung der Beamt*innen mit der gesetzlichen Rentenversicherung kommt, wird das Gesamtniveau ihrer Alterssicherung nicht reduziert."
196,"Es darf nicht sein, dass jemand wegen gesundheitlicher Beeinträchtigungen in Armut gerät. Wir werden daher die Armutsrisiken bei den heutigen Erwerbsminderungsrentner*innen verringern und für sie Verbesserungen erreichen. Wir wollen eine geschlechtergerechte Rente. Unterschiedliche Arbeitszeiten und familienbedingte Tätigkeiten bei den Renten werden wir gerechter behandeln. Langjährige Pflege von Eltern, Schwiegereltern oder anderen Familienmitgliedern dürfen sich nicht mehr negativ auf die Rente auswirken und die eigene Altersarmut bedeuten. Hier brauchen wir mehr Solidarität und Respekt vor dieser schweren Aufgabe."
197,"Wir haben es kleinen und mittleren Unternehmen erleichtert, für ihre Beschäftigten in die betriebliche Altersversorgung einzusteigen. Unser ist Ziel ist, dass deutlich mehr Beschäftigte in einer betrieblichen Altersversorgung abgesichert sind. Dabei sollten tarifvertraglich vereinbarte kollektive Altersversorgungsformen bevorzugt werden."
198,"Wir wollen allen gesetzlich verpflichtet Versicherten zusätzlich die Möglichkeit einräumen, sich in angemessenem Umfang ergänzend freiwillig in der gesetzlichen Rentenversicherung zu versichern."
199,"Eine ergänzende private Altersvorsorge ist kein Ersatz für die gesetzliche Rente. Die bisherigen Ergebnisse der Riester-Rente sind nicht zufriedenstellend. Wir wollen daher bei klassischen privaten Angeboten der Altersvorsorge bürokratische Hemmnisse abbauen und Kosten senken. Um den Bürgerinnen und Bürgern eine attraktive private Altersvorsorge zu ermöglichen, setzen wir uns für ein neues standardisiertes Angebot ein, das kostengünstig ist, digital und grenzüberschreitend und (nach schwedischem Vorbild) auch von einer öffentlichen Institution angeboten wird. Die Förderung neuer Verträge werden wir in Form von Zuschüssen auf untere und mittlere Einkommensgruppen beschränken."
200,"Füreinander einstehen Eine Gesellschaft des Respekts misst sich auch am Umgang mit den Bürger*innen, die auf andere angewiesen sind und gepflegt werden müssen. Wir haben bereits dafür gesorgt, dass Angehörige mit einem Einkommen unter 100. 000 Euro pro Jahr nicht mehr für die Pflegekosten herangezogen werden. So müssen sich Eltern nicht mehr sorgen, dass ihre Kinder später für ihre Pflege aufkommen müssen."
201,"Wir wollen eine Vollversicherung als Bürgerversicherung, die alle pflegerischen Bedarfe und Leistungen abdecken. Ein erster Schritt dorthin ist für uns, für Pflegebedürftige mit kleinen und mittleren Einkommen den Eigenanteil zu deckeln, damit Pflege für sie bezahlbar bleibt. Zukünftige Kostensteigerungen werden solidarisch über einen Mix aus moderat steigenden Pflegeversicherungsbeiträgen und einem dynamischen Bundeszuschuss finanziert."
202,"Für uns ist es außerdem wichtig, dass Länder, Landkreise und Kommunen mehr Möglichkeiten erhalten, darüber zu entscheiden, wo und in welcher Trägerschaft Heime entstehen. Um ihren Sicherstellungsauftrag zu gewährleisten, müssen sie deutlich intensiver in die Entscheidungsprozesse eingebunden werden."
203,Bei Pflegebedürftigkeit wollen viele in der eigenen Wohnung bleiben. Dabei sind sie oft auf eine 24-Stunden-Pflege angewiesen. Dabei entsteht viel Rechtsunsicherheit zu den wechselseitigen Pflichten und Rechten. Wir werden bei der Pflege und der Hilfe im Alltag für Klarheit sorgen.
204,"Ein besonderes Augenmerk werden wir auf den ländlichen Raum legen. Wir werden im Rahmen eines Modellprojektes des Bundes Dienstleistungszentren (DLZ) in kleinen Städten und Gemeinden schaffen, in denen medizinische und haushaltsnahe Dienstleistungen vermittelt werden. Die DLZ erkennen darüber hinaus fehlende Angebote und schaffen in Kooperation mit dem sozialen Arbeitsmarkt und den vorhandenen Anbietern Abhilfe."
205,"Wir werden durch eine besondere Förderung der haushaltsnahen Dienstleistungen die Vereinbarkeit von Familie und Beruf verbessern, älteren Menschen helfen, möglichst lange in der eigenen Wohnung zu leben, Schwarzarbeit bekämpfen und den Personen, die bislang ohne Sozialversicherung in den privaten Haushalten arbeiten, eine Absicherung bei Arbeitsunfällen oder Krankheit geben. Diese Förderung soll so ausgerichtet sein, dass sie auch von Geringverdiener*innen in Anspruch genommen werden kann."
206,Bezahlbar wohnen Eine Wohnung zu finden wird in vielen Lagen zu einer immer größeren Herausforderung – selbst mit mittlerem Einkommen.
207,"Wir werden bezahlbaren Wohnraum erhalten und neuen schaffen. Dazu werden wir alle Beteiligten an einen Tisch bringen. Kommunale Wohnungsunternehmen und Genossenschaften, aber auch private Wohnungsunternehmen und Vermieter*innen, die sich einer sozialverträglichen Vermietung verpflichtet fühlen, sollten dabei sein wie auch die Bauwirtschaft und die Gewerkschaften."
208,Es gibt eine gemeinsame Verantwortung aller Beteiligten vor allem für den erforderlichen Neubau sowie die Quartiersentwicklung und den Klimaschutz. Nach wie vor ist der Neubau von 100. 000 Sozialwohnungen jährlich erforderlich. Daneben führen wir eine neue Wohnungsgemeinnützigkeit ein und fördern damit ein zusätzliches nicht gewinnorientiertes Segment auf dem Wohnungsmarkt.
209,"In angespannten Wohnlagen werden wir daneben ein zeitlich befristetes Mietenmoratorium einführen, das bedeutet: Mieten können für eine bestimmte Zeit nur im Rahmen der Inflationsrate erhöht werden. Mietwucher werden wir wirksam unterbinden. Wir werden außerdem die Mietpreisbremse entfristen und Schlupflöcher schließen, den Betrachtungszeitraum von Mietspiegeln auf acht Jahre verlängern und die Möglichkeiten für Eigenbedarfskündigungen reduzieren."
210,"Unsere Bodenpolitik wird am Gemeinwohl orientiert. Bund, Länder und Kommunen sollen öffentliches Eigentum an Grundstücken sichern und vermehren, um die Spekulation mit Grund und Boden zu stoppen. Dazu ist das Vorkaufsrecht für Kommunen zu fairen Preisen wichtig."
211,"Wir werden dazu beitragen, dass kommunale Wohnbauflächen nicht veräußert werden, Flächen zurückerworben werden und öffentliches Bauland nur auf dem Weg der Erbpacht für den Wohnungsbau zur Verfügung gestellt wird. Mit der Schaffung von Bodenfonds unter Einbeziehung bundeseigener Grundstücke erhalten Kommunen ein Instrument für die nachhaltige Stadtentwicklung und bezahlbaren Wohnungsbau. Wir werden die bislang nach einer Zehn-Jahres-Frist geltende Steuerfreiheit für Veräußerungsgewinne nicht selbst genutzter Grundstücke abschaffen. Um die Spekulation mit Wohnraum einzudämmen, werden."
212,"Wir die Eigentümerstrukturen über ein zentrales Immobilienregister transparent machen wohneigentum dient nicht nur der Versorgung mit Wohnraum, sondern auch der Vermögens- und Alterssicherung. Um insbesondere jungen Familien den Weg zu den eigenen vier Wänden zu erleichtern, werden wir in angespannten Wohnlagen den Erwerb von Genossenschaftsanteilen erleichtern. Wir werden Mietkaufmodelle fördern und ein Programm „Jung-Kauft-Alt“ für den Erwerb von Bestandsimmobilien insbesondere in vom Leerstand betroffenen Ortskernen auflegen."
213,"Die Corona-Pandemie verstärkt die Strukturveränderungen in unseren Innenstädten und Stadtteilzentren. Das betrifft den Einzelhandel, die Gastronomie und das Hotelgewerbe ebenso wie Museen, Theater, Büchereien und Kinos. Die gemeinsam mit den Ländern getragene Städtebauförderung sichern wir ab. Wir unterstützen die Städte dabei, die Innenstädte lebendig zu halten und notwendige Nutzungsänderungen mitgestalten zu können, unter anderem durch eine Mietpreisbegrenzung, einen Mieterschutz im Gewerbeimmobilienbereich, durch Konzepte zur Revitalisierung von Standorten und die Förderung von Co-Working-Spaces in den Innenstädten. Ein besonderes Augenmerk werden wir auf die Entwicklung im ländlichen Raum legen."
214,"Gut aufwachsen Kinder und Jugendliche brauchen starke Familien. Sie brauchen Liebe, Zuwendung und viel gemeinsame Zeit. Die Zukunftsfähigkeit unserer Gesellschaft hängt davon ab, dass sich Menschen für Kinder entscheiden und sie auf ihrem Weg in ein selbständiges Leben bestmöglich begleiten. Die Vereinbarkeit von Familienarbeit und Beruf ist für viele noch immer ein täglicher Spagat – hier brauchen Eltern mehr Unterstützung. Das gilt zumal dann, wenn neben der Kindererziehung noch Alltagshilfe oder Pflege für ältere Angehörige zu leisten ist."
215,"In der Krise ist erneut deutlich geworden, dass Fürsorgearbeit überwiegend von Frauen geleistet wird. Wir treten dafür an, dass Familien mehr Zeit füreinander haben, und dass es einfacher wird, Erwerbs- und Sorgearbeit gerechter zwischen allen Geschlechtern aufzuteilen, und Alleinerziehende besser unterstützt werden."
216,"Wir werden ein Vier-Säulen-Modell für mehr Familienzeit einführen. Die erste Säule sind zwei Wochen Elternschaftszeit direkt nach Geburt eines Kindes, auf die jeder Vater bzw. der/die Partner*in kurzfristig und sozial abgesichert Anspruch hat. Wir werden damit Familien mit Kindern in ihrer allerersten Phase unterstützen und die Voraussetzungen für eine gerechtere Aufteilung von Sorgeaufgaben schaffen."
217,"Die zweite Säule ist die Familienarbeitszeit, mit der wir den derzeitigen Partnerschaftsbonus beim ElterngeldPlus zu einer flexiblen, geförderten Elternteilzeit nach dem ersten Lebensjahr eines Kindes ausbauen werden. Wenn in Paarfamilien beide Elternteile gleichzeitig oder Alleinerziehende etwas weniger als Vollzeit arbeiten, sollen sie zukünftig je zehn Monate ElterngeldPlus erhalten – mindestens 200 und höchstens 900 Euro. Diese Leistung kann so lange genutzt werden, wie auch der Anspruch auf Elternzeit gilt, also bis zum achten Geburtstag des Kindes. Denn auch jenseits des Kleinkindalters brauchen Eltern Zeit für ihre Kinder, sei es bei der Einschulung, weil ein Umzug ansteht oder ein Kind einfach mehr unterstützt werden muss als andere."
218,"Die dritte Säule ist die dauerhafte Ausweitung der pandemiebedingt erhöhten Kinderkrankentage auf 20 Tage pro Kind, Jahr und Elternteil (als „Elterngeld akut“) - bei mehr als zwei Kindern maximal 45 Tage pro Elternteil und 90 Tage für Alleinerziehende. Kinderkrankentage waren schon vor Corona oft zu knapp - gerade bei jüngeren Kindern, die in den ersten Kita-Jahren häufig krank werden. Darüber hinaus soll künftig auch anderer kurzzeitiger Betreuungsbedarf über das „Elterngeld akut“ organisiert werden können."
219,"Unser Modell der Familienpflegezeit ist die vierte Säule. Wer Angehörige pflegt, soll dabei unterstützt werden, die Pflege mit Erwerbsarbeit zu kombinieren. Das bedeutet: Monate Anspruch auf Unterstützung (Lohnersatz) bei einer Arbeitszeitreduzierung für jeden nahen Angehörigen ab Pflegegrad 2, auf mehrere Pflegepersonen aufteilbar mit einer Mindestarbeitszeit von 15 bis 20 Stunden. Wichtig ist, dass Unternehmen gezielt auch die Männer ermutigen, dieses Modell zu nutzen."
220,"Wir werden dafür sorgen, dass alle Kinder und Jugendlichen unabhängig von ihrer Herkunft die gleichen Chancen haben, das Bestmögliche aus ihrem Leben zu machen. Jedes Kind soll gut und geborgen aufwachsen und alle jungen Menschen sollen gut ins Erwachsenenleben starten. Die Unterstützung von Kindern und Familien in Deutschland ist vielfältig. Aber genau dort, wo sie besonders gebraucht wird, kommt sie oft nicht an."
221,"Wir haben deshalb ein Konzept der Kindergrundsicherung entwickelt, das aus zwei zentralen Bereichen besteht. Zum einen aus einer Infrastruktur, die gerechte Bildung und Teilhabe für alle Kinder ermöglicht. Sie beinhaltet gute und beitragsfreie Kitas, ein Ganztagsangebot für Schulkinder, eine soziale Infrastruktur für Jugendliche und freie Fahrt für Kinder und Jugendliche mit Bus und Bahn im Nahverkehr. Die Kindergrundsicherung besteht zum anderen aus einem neuen existenzsichernden, automatisch ausgezahlten Kindergeld, das nach Einkommen der Familie gestaffelt ist – je höher der Unterstützungsbedarf, desto höher das Kindergeld. Damit machen wir das Leben der Familien leichter, die es besonders schwer haben."
222,Der monatliche Basisbetrag dieses neuen Kindergeldes wird bei zirka 250 Euro liegen. Der Höchstbetrag wird sich an den Ausgaben von Familien mit mittleren Einkommen für Bildung und Teilhabe orientieren und mindestens doppelt so hoch sein wie der Basisbetrag. Im Höchstbetrag sind das sächliche Existenzminimum inklusive Wohnkostenpauschale sowie Bildungs- und Teilhabekosten enthalten. Das neue Kindergeld ersetzt so den Kinderfreibetrag und bündelt bisherige Leistungen.
223,"Junge Menschen in Ausbildung sollen durch direkte, elternunabhängige Auszahlung des neuen Kindergeldes finanziell abgesichert werden - mit einem zusätzlichen, auskömmlichen Fördersatz an BAföG obendrauf. Wir wollen Hilfen für Kinder, Jugendliche und Familien bündeln, die von Krankheit oder Behinderung betroffen sind. Kinder, Jugendliche, junge Erwachsene und Eltern müssen einen einfachen Zugang zu Unterstützungsleistungen haben. Dafür sind weitere Schritte notwendig. Der Kampf gegen Bildungsbenachteiligung muss in allen Systemen konsequent stattfinden. Die erste Bildungseinrichtung im Leben eines Kindes ist heute die Kita. Deshalb werden wir die frühkindliche Bildung weiter ausbauen."
224,Ohne bezahlbare Wohnheimangebote ist für viele Auszubildende und Studierende eine erfolgreiche Ausbildung nicht möglich. Wir werden sie ausbauen und zudem das Jugendwohnen im Rahmen der Kinder- und Jugendhilfe zukünftig für junge Menschen bis Jahre ermöglichen sowie mehr Räume für Jugendarbeit schaffen.
225,"Zur Unterstützung der beruflichen Orientierung und persönlichen Entwicklung, der Stärkung des freiwilligen Engagements muss jeder junge Mensch nach Ende der Schulzeit die Möglichkeit haben, sich für ein Jugendfreiwilligenjahr zu entscheiden. Wir werden."
226,"Einen Rechtsanspruch auf Förderung aller Freiwilligendienst-Vereinbarungen für UnterJährige schaffen, beispielweise im Freiwilligen Sozialen Jahr oder in internationalen Freiwilligendiensten. Das Freiwillige Soziale Jahr Digital FSJdigital) werden wir neu auflegen. Das Engagement in Jugendfreiwilligendiensten muss für junge Menschen unabhängig von ihrer sozialen Herkunft möglich sein. Dafür soll es ein bundesweit einheitliches Freiwilligengeld geben, das junge Menschen zusammen mit dem neuen gestaffelten Kindergeld elternunabhängig absichert."
227,"Wir werden starke Kinderrechte auf Schutz, Beteiligung und Förderung und den Vorrang des Kindeswohls im Grundgesetz verankern. Wir werden das Wahlalter für junge Menschen auf 16 Jahre senken. Kinder und Jugendlichen müssen auf allen Ebenen an politischen Prozessen beteiligt werden und einen Anspruch auf echte Beteiligung in kommunalen Jugendhilfeausschüssen und Landesjugendhilfeausschüssen haben, die gesetzlich in den Kommunalverfassungen verankert werden müssen. Jugendverbände und bestehende Beteiligungsstrukturen wie Jugendringe, Kinder- und Jugendparlamente wollen wir dauerhaft und nachhaltig finanzieren und jedes neue Gesetz einem Jugend-Check unterziehen."
228,"Die Mitbestimmungsmöglichkeiten von Jugend- und Auszubildenden-Vertretungen (JAV) werden wir verbessern, indem ihr Vertretungsrecht auf alle Beschäftigten in Ausbildung ausgedehnt und die Gründung einer JAV erleichtert wird."
229,Mit einem Bundesprogramm „Gemeindehaus 2. 0“ werden wir aufbauend auf dem Netz der Mehrgenerationenhäuser noch mehr Angebote unter einem Dach bündeln:.
230,"Außerschulischen Bildung, Sport, Kultur und Jugendarbeit, Netzwerke für den Kinderschutz, barrierefreie digitale Infrastruktur für alle Kinder und Jugendlichen, die sie für Bildung und gesellschaftliche Teilhabe benötigen. Selbstbestimmte Räume für die Kinder- und Jugendarbeit müssen unabhängig davon erhalten und ausgebaut werden. An Kinder gerichtete Werbung wollen wir reglementieren. Kitas und Schulen müssen ein werbefreier Raum sein."
231,"Ein gutes Ganztagangebot ist entscheidend für gleiche Chancen – und das muss für alle Kinder zur Verfügung stehen. Ganztagsschulen sind Lern- und Lebensorte, wo gute Chancen für alle ermöglicht und sichergestellt werden. Schule erreicht jedes Kind, unabhängig von seiner Herkunft. Der Rechtsanspruch auf ein ganztägiges Bildungs- und Betreuungsangebot im Grundschulalter ist ein wichtiger Beitrag zur Bildungsgerechtigkeit und zudem für viele Eltern der notwendige nächste Schritt in der Vereinbarkeit von Familie und Beruf, auf den sie dringend warten. Mehr als 70 Prozent wünschen sich ein solches Angebot für ihre Kinder."
232,Durch die Einschränkung des Präsenzunterrichts während der Pandemie droht sich die Verbindung von Bildungserfolg und Familienhintergrund zu verfestigen und Bildungsbenachteiligungen zu verstärken. Aus diesem Grund starten wir die Bundesinitiative Chancengleichheit in der Bildung. Mit einem Bundesprogramm für Schulsozialarbeit werden wir durch den Bund finanzierte Chancenhelfer für jede Schule fördern.
233,"Der Grundsatz der gleichwertigen Lebensverhältnisse ist für uns bei der Weiterentwicklung der Bund-Länder-Zusammenarbeit maßgebend, damit Kinder und."
234,"Jugendliche aus wirtschaftlich benachteiligten Familien nicht alleine gelassen werden. Die Mittel von Bund und Ländern müssen durch die zusätzliche Einführung von Sozialkriterien da ankommen, wo sie am dringendsten gebraucht werden."
235,"Wir wollen, dass Kinder und Jugendliche sicher aufwachsen. Wir werden daher Strafrecht und Prävention besser verbinden, um Kinder und Jugendliche wirksam zu schützen. Wir brauchen Schutzkonzepte unter anderem mit Kinderschutzbeauftragten für Kitas, Schulen und Jugendhilfe-Einrichtungen und werden das durch vom Bund geförderte Pilotprojekte unterstützen. Darüber hinaus werden wir unabhängige Ombudsstellen einrichten."
236,"Wir werden Präventionsketten und Netzwerke für Kinder und Jugendliche aller Altersgruppen schaffen, in denen Jugendhilfe und Gesundheitsdienst, Bildungs- und Gesundheitseinrichtungen, öffentliche und freie Träger, Sportvereine und Verbände, Polizei und Familiengerichte auf kommunaler Ebene verbindlich zusammenwirken."
237,"Schutzstandards für Kinder und Jugendliche müssen auch im digitalen Raum gelten, also auch beim Schutz der persönlichen Integrität, vor sexueller Belästigung und Gewalt, bei Entwicklungsbeeinträchtigungen und wirtschaftlicher Ausbeutung. Um die Belastungen für Kinder und Jugendliche vor allem in Kinderschutz- oder Familienrechtsverfahren so gering wie möglich zu halten, setzen wir uns für eine kindersensible Justiz ein."
238,"Gleichstellung verwirklichen Bei der großen Aufgabe der Gleichberechtigung der Geschlechter wurde in den letzten Jahrzehnten vieles erreicht, wenn auch lange noch nicht alles. Die Pandemie hat erneut die immer noch ungleichen Chancen von Frauen und Männern gezeigt. Wir wollen ein Jahrzehnt der Gleichstellung."
239,"Die Gleichstellung von Frauen und Männern ist eine Aufgabe für die gesamte Gesellschaft. Sie ist eine Querschnittsaufgabe, die alle Bereiche durchziehen muss: Familienpolitik, Arbeitsmarktpolitik, Sozialpolitik, Bildungs- und Rechtspolitik – aber auch Haushalts- und Finanzpolitik. Dies schließt eine geschlechtergerechte Haushaltssteuerung mit ein. Wir wollen die Gleichstellung von Männern und Frauen in allen gesellschaftlichen Bereichen erreichen. Dazu werden wir die Gleichstellungsstrategie der Bundesregierung zu einem verbindlichen Fahrplan mit konkreten und wirksamen Maßnahmen für alle Politikbereiche weiterentwickeln."
240,"Gleichberechtigung ist auch eine Frage der politischen Repräsentation. Darum setzen wir uns für Paritätsgesetze für den Bundestag, die Länder und Kommunen ein, damit alle Geschlechter in gleichem Maße an politischen Entscheidungen beteiligt sind."
241,"Das Prinzip des gleichen Lohns für die gleiche und gleichwertige Arbeit muss gelten. Wir haben per Gesetz dafür gesorgt, dass Arbeitnehmer*innen einen Auskunftsanspruch gegenüber ihrem Arbeitgeber haben, damit sie herausfinden können, ob andere Kolleg*innen, die die gleiche Arbeit machen, mehr Geld dafür bekommen. Das reicht aber nicht. Wir werden das Entgelttransparenzgesetz so weiterentwickeln, dass es Unternehmen und Verwaltungen verpflichtet, Löhne und Gehälter im Sinne der Geschlechtergerechtigkeit zu überprüfen und Verfahren festzulegen, mit denen Ungleichheit bei der Entlohnung beseitigt wird, ohne dass sich Betroffene selbst darum kümmern müssen. Wir werden eine entsprechende Regelung auch auf europäischer Ebene vorantreiben."
242,"Erfolgreiches Wirtschaften braucht geschlechterparitätische und kulturell vielfältige Arbeitsteams. Das gilt selbstverständlich auch an den Unternehmensspitzen. Wir haben bisher eine Quote für Aufsichtsräte eingeführt und geregelt, dass in größeren Vorständen von börsennotierten und paritätisch mitbestimmten großen Unternehmen mindestens eine Frau vertreten sein muss. Wir wollen, dass an der Spitze von Unternehmen und in den Führungsebenen darunter genauso viele Frauen wie Männer vertreten sind. Dies werden wir auf alle börsennotierten oder mitbestimmten Unternehmen ausweiten und wirksame Sanktionen einführen für alle, die sich nicht."
243,"In Start-ups und den großen Tech-Unternehmen wird im buchstäblichen Sinne unsere Zukunft programmiert. Frauen sollen daran einen relevanten Anteil haben. Der erste Mensch auf der Welt, der eine Maschine programmiert hat, war eine Frau: Ada Lovelace."
244,"Doch heute sind IT-Berufe in hohem Maße von Männern dominiert, und an der Spitze von Tech-Unternehmen in Deutschland sind Frauen noch seltener vertreten als im Durchschnitt der Unternehmen. Wir wollen, dass Mädchen und junge Frauen früh erfahren, dass Technik und Unternehmensgründung etwas für sie sein kann und setzen uns weiterhin für die Förderung von Frauen und Mädchen im naturwissenschaftlichen und technischen Bereich (MINT) ein. Wir wollen einen besseren Zugang für Frauen zu Gründungskapital und eine umfassende und koordinierte Förderstrategie, um geschlechtsbezogene Barrieren insbesondere für digitalisierungsbezogene Unternehmensgründungen abzubauen."
245,"Wenn der Einsatz von Algorithmen, zum Beispiel bei der Personalrekrutierung, über das Leben oder die Chancen von Menschen mitentscheidet, dürfen sie niemals diskriminieren. Wir wollen verantwortungsvolle Künstliche Intelligenzen (KI) und Algorithmen, die vorurteilsfrei programmiert sind und auf diskriminierungsfreien Datenlagen basieren. Dies soll regelmäßig geprüft und zertifiziert werden."
246,"Dass jeden dritten Tag eine Frau durch die Hand ihres Partners oder Ex-Partners stirbt, ist erschütternd. Jede siebte Frau erlebt Belästigung oder Gewalt am Arbeitsplatz. Um Gewalt gegen Frauen wirksam zu bekämpfen, werden wir die Zusammenarbeit aller Verantwortlichen in staatlichen und nichtstaatlichen Institutionen verbessern. Entsprechend unserer Verpflichtungen aus der „Istanbul Konvention“ werden wir das Hilfesystem aus Beratungsstellen, Frauenhäusern und anderen Schutzeinrichtungen weiterentwickeln und die internationalen Vereinbarungen zum Schutz vor Gewalt am Arbeitsplatz umsetzen. Für von Gewalt betroffene Frauen führen wir einen Rechtsanspruch auf Beratung und Schutz ein. Wir werden Schwerpunktstaatsanwaltschaften für Femizide einrichten – also zur Verfolgung von Morden an Frauen, die begangen wurden, weil sie Frauen sind."
247,"Paare, die sich für Kinder entscheiden, brauchen Versorgungssicherheit und die freie Wahl des Geburtsortes. Ob nun stationär oder ambulant in der Klinik, im Geburtshaus oder in den eigenen vier Wänden. Für eine gute Geburtsbegleitung ist ein Betreuungsschlüssel für Hebammen notwendig, der eine Eins-zu-eins-Betreuung im Kreißsaal vorsieht. Daher muss auch die Geburtshilfe aus dem System der diagnosebezogenen Fallpauschalen“ entlassen werden."
248,"In der Familienplanung müssen Menschen selbstbestimmte Entscheidungen treffen können eigenständig, partnerschaftlich, und unabhängig vom Einkommen. Wir werden deshalb für einen kostenfreien Zugang zu Verhütungsmitteln sorgen und gezielt die Erforschung von Verhütungsmethoden für Männer fördern."
249,"Frauen und Paare, die sich in einer Konfliktsituation für einen Schwangerschaftsabbruch entscheiden, brauchen Zugang zu Informationen und einer wohnortnahen, guten medizinischen Versorgung – das gilt ambulant wie stationär."
250,"Deshalb müssen Länder und Kommunen dafür sorgen, dass Krankenhäuser, die öffentliche Mittel erhalten, Schwangerschaftsabbrüche als Grundversorgung anbieten. Wir erkennen die Verantwortung und das Selbstbestimmungsrecht von Frauen an. In Hinblick auf die Paragraphen 218 und 219a stellen wir fest: Schwangerschaftskonflikte gehören nicht ins Strafrecht."
251,"In der Familie wird füreinander Verantwortung übernommen. Die Ehe ist und bleibt dafür attraktiv. Deshalb haben wir die Ehe für alle durchgesetzt. Zugleich ist klar, Verantwortung hängt nicht am Trauschein. Wir werden vielfältige Familienmodelle rechtlich absichern. Mit der Verantwortungsgemeinschaft schaffen wir nach dem Vorbild des französischen „Pacte civil de solidarité (PACS) eine Möglichkeit des füreinander Einstehens für alle, zu deren Lebenssituation das klassische Ehe-Modell nicht passt. Mit der Verantwortungsgemeinschaft unterstützen wir beispielsweise Regenbogenfamilien zusätzlich darin, füreinander Sorge zu tragen und Verantwortung zu übernehmen, wenn sich mehrere Menschen mit oder anstelle der biologischen Eltern um Kinder kümmern."
252,"Wir schaffen ein modernes Abstammungsrecht. Wir setzen uns ein für gleiche Rechte von gleichgeschlechtlichen Partner*innen in der Ehe, insbesondere bei Adoptionen. Kein Gericht sollte künftig mehr über die Anpassung des Personenstandes entscheiden. Psychologische Gutachten zur Feststellung der Geschlechtsidentität werden wir abschaffen. Jeder Mensch sollte selbst über sein Leben bestimmen können. Wir wollen, dass trans-, inter- und nicht binäre Menschen im Recht gleich behandelt werden, deshalb werden wir das Transsexuellengesetz reformieren. Das Diskriminierungsverbot wegen der geschlechtlichen und sexuellen Identität wollen wir in Art. 3 Abs. 3 GG aufnehmen."
253,"Die gleichberechtigte Teilhabe aller Geschlechter und Identitäten ist ein Gewinn für die ganze Gesellschaft. So können alte Rollen- und Denkmuster aufgebrochen werden. Wir setzen uns für die Anerkennung und Gleichstellung von Lesben, Schwulen, Bisexuellen, Trans-, Inter- und queeren Menschen (LSBTIQ*) ein. Wir setzen uns die rechtliche Absicherung von LSBTIQ*-Familien und Trans* und Inter*Personen zum Ziel."
254,"Wir stellen uns konsequent gegen Diskriminierung und Gewalt. Wir werden einen nationalen Aktionsplan gegen Homo-, Bi-, Trans- und Interphobie und Gewalt gegen LSBTIQ* einführen. Wir fördern den Kampf gegen Hass und Gewalt, die sich gegen queere Menschen richtet. Wir werden darauf hinwirken, dass die diskriminierende Richtlinie der Bundesärztekammer zur Blutspende abgeschafft wird."
255,"In unserer Gesellschaft soll das tägliche Miteinander von Menschen mit und ohne Behinderungen selbstverständlich werden. Menschen mit Behinderungen sollen bessere Chancen auf dem Arbeitsmarkt erhalten. Auch für sie gilt das Recht auf gute Arbeit. Das werden wir durch die Stärkung der Schwerbehindertenvertretungen und die Weiterentwicklung der Ausgleichsabgabe unterstützen. Viele Menschen mit Behinderungen sind gut oder sogar sehr gut ausgebildet und in Zeiten des Fachkräftemangels begehrte Arbeitskräfte. Wir setzen uns dafür ein, dass eine einheitliche Ansprechstelle für Arbeitgeber*innen kleiner und mittlerer Unternehmen geschaffen wird, die bei Fragen beispielsweise zu Barrierefreiheit oder Lohnzuschüssen berät."
256,"Das gesellschaftliche Leben muss auf allen Ebenen für Menschen mit Behinderung inklusiv gestaltet werden. Dabei ist Barrierefreiheit unverzichtbar. Wir werden vor allem die Kommunen bei dieser Aufgabe unterstützen. Der große Mangel an barrierefreien bzw. armen Wohnraum, Sporthallen und anderen Freizeiteinrichtungen muss behoben werden. Wir werden ein Bundesprogramm Barrierefreiheit initiieren, das über entsprechende Ressourcen verfügen muss."
257,"Zusammen leben Grundvoraussetzung für ein gemeinsames Leben in einer Gesellschaft des Respekts ist die Gewissheit, dass man dazugehört, dass man unabhängig von einer familiären Migrationsbiografie akzeptiert ist und dazugehört."
